COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
47,4065.64,4216.41,4083.59,3915.9,4440,4200,4583.08,4540,4317.44,3924.1,4269.23,4616.92,4365.64,4589.74,1694,1686,0.137,0,0,0,0,
48,4059.49,4216.92,4082.05,3910.26,4445.64,4200,4586.15,4542.05,4315.38,3911.28,4257.44,4618.46,4365.64,4584.62,1698,1668,0.146,0,0,0,0,
49,4054.87,4211.79,4076.92,3902.56,4441.54,4201.03,4589.23,4542.56,4320,3909.23,4232.31,4616.41,4367.18,4567.69,1700,1660,0.153,0,0,0,0,
50,4057.44,4214.87,4075.9,3906.67,4441.03,4204.62,4587.69,4542.05,4321.54,3917.95,4238.97,4610.26,4368.72,4566.15,1702,1663,0.23,0,0,0,0,
51,4056.92,4217.44,4078.97,3911.28,4445.13,4205.13,4586.67,4538.97,4315.9,3910.77,4250.26,4603.08,4367.18,4574.87,1701,1677,0.246,0,0,0,0,
52,4051.79,4216.41,4072.82,3912.31,4442.56,4200.51,4588.21,4540,4318.46,3900,4236.92,4598.46,4364.1,4570.77,1701,1691,0.246,0,0,0,0,
53,4053.33,4214.36,4063.08,3908.21,4437.95,4196.92,4586.67,4540.51,4321.54,3896.92,4227.18,4592.82,4363.08,4564.1,1698,1704,0.246,0,0,0,0,
54,4053.33,4207.18,4058.46,3899.49,4442.05,4197.95,4575.9,4524.1,4305.13,3892.31,4232.82,4588.21,4361.03,4564.1,1698,1711,0.246,0,0,0,0,
55,4045.13,4197.95,4055.9,3900.51,4444.1,4202.05,4567.69,4508.21,4292.31,3902.05,4236.41,4594.36,4355.9,4562.56,1695,1712,0.246,0,0,0,0,
56,4044.62,4205.13,4063.08,3911.79,4433.33,4200,4576.41,4519.49,4305.64,3919.49,4234.87,4603.59,4357.44,4563.59,1694,1709,0.246,0,0,0,0,
57,4052.31,4216.41,4072.82,3913.33,4426.67,4195.9,4586.67,4528.72,4309.74,3907.18,4232.82,4601.54,4359.49,4568.21,1694,1696,0.246,0,0,0,0,
58,4047.18,4207.18,4068.21,3904.62,4436.41,4199.49,4584.62,4521.03,4299.49,3889.23,4232.82,4603.59,4347.18,4567.69,1692,1687,0.246,0,0,0,0,
59,4039.49,4196.92,4067.69,3901.03,4442.05,4202.56,4583.08,4530.77,4308.72,3909.74,4235.9,4615.38,4346.67,4567.69,1690,1681,0.249,0,0,0,0,
60,4038.97,4198.97,4074.87,3895.38,4435.38,4201.54,4589.74,4544.1,4318.46,3921.03,4235.38,4618.46,4360,4568.72,1688,1679,0.249,0,0,0,0,
61,4036.41,4198.46,4072.31,3889.74,4440,4205.64,4587.18,4530.77,4305.13,3894.36,4229.23,4610.77,4358.97,4568.72,1687,1682,0.249,0,0,0,0,
62,4042.05,4197.95,4069.23,3900,4445.64,4204.1,4576.92,4517.44,4295.9,3887.69,4232.31,4611.79,4360.51,4575.38,1684,1686,0.254,0,0,0,0,
63,4056.41,4204.1,4073.85,3909.74,4433.33,4190.26,4572.82,4523.59,4299.49,3905.13,4243.08,4616.92,4374.87,4583.59,1683,1691,0.262,0,0,0,0,
64,4065.13,4206.15,4075.9,3909.74,4426.67,4183.08,4574.87,4530.77,4305.64,3910.26,4248.72,4618.97,4375.38,4584.1,1680,1697,0.271,0,0,0,0,
65,4062.56,4204.1,4075.9,3909.23,4441.03,4188.72,4575.9,4529.23,4313.33,3911.28,4248.21,4623.08,4365.13,4583.59,1680,1701,0.278,0,0,0,0,
66,4055.9,4203.59,4078.46,3906.15,4444.62,4188.21,4572.82,4522.05,4308.21,3915.38,4247.18,4621.03,4371.79,4584.62,1676,1701,0.286,0,0,0,0,
67,4050.26,4200.51,4078.46,3894.36,4432.31,4183.59,4571.79,4520,4300,3907.69,4239.49,4615.38,4372.82,4577.95,1674,1699,0.293,0,0,0,0,
68,4045.64,4199.49,4076.92,3888.72,4429.23,4190.26,4577.95,4534.36,4318.46,3910.26,4229.74,4616.41,4356.92,4569.74,1672,1695,0.301,0,0,0,0,
69,4042.56,4201.03,4075.38,3893.85,4431.28,4202.05,4582.05,4545.64,4333.33,3921.03,4235.9,4617.95,4355.38,4569.74,1670,1696,0.309,0,0,0,0,
70,4042.05,4192.82,4074.36,3893.85,4433.85,4204.1,4576.41,4533.33,4321.03,3916.41,4247.69,4615.9,4367.69,4570.26,1669,1697,0.318,0,0,0,0,
71,4044.62,4186.67,4076.41,3892.31,4437.95,4198.46,4573.33,4526.15,4315.9,3915.38,4248.21,4616.41,4368.21,4573.33,1669,1701,0.325,0,0,0,0,
72,4049.23,4196.41,4077.44,3894.36,4435.9,4195.38,4581.03,4533.85,4320.51,3923.08,4245.13,4618.97,4364.1,4582.05,1669,1701,0.333,0,0,0,0,
73,4052.82,4206.15,4073.85,3894.87,4434.36,4198.46,4584.1,4531.28,4313.33,3919.49,4247.69,4620.51,4372.82,4589.23,1668,1699,0.34,0,0,0,0,
74,4051.28,4202.05,4071.28,3895.38,4442.05,4200,4583.08,4525.64,4304.62,3909.23,4247.18,4620,4375.38,4586.15,1670,1694,0.349,0,0,0,0,
75,4044.1,4198.46,4067.69,3896.41,4444.62,4200.51,4584.62,4534.87,4309.74,3910.77,4236.92,4617.44,4363.59,4575.9,1669,1688,0.356,0,0,0,0,
76,4043.59,4201.54,4065.13,3895.38,4440.51,4202.05,4588.72,4543.08,4318.97,3915.38,4238.46,4621.03,4362.05,4575.38,1672,1683,0.364,0,0,0,0,
77,4050.77,4201.03,4070.77,3893.33,4442.05,4203.59,4589.74,4540.51,4324.62,3909.74,4246.15,4626.15,4370.26,4584.62,1671,1679,0.372,0,0,0,0,
78,4050.26,4202.56,4073.33,3893.33,4443.59,4201.54,4588.21,4541.03,4327.69,3914.36,4241.54,4625.64,4372.82,4582.05,1672,1682,0.38,0,0,0,0,
