COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
7,4414.36,4029.23,4357.95,4151.79,4080,3601.54,4424.62,4447.69,4749.23,4509.23,4535.38,4341.03,4239.49,3878.46,1655,1693,0.089,0,0,0,0,
8,4407.69,4028.72,4354.87,4154.87,4075.9,3592.31,4416.92,4445.13,4750.26,4508.21,4538.46,4341.03,4242.56,3873.85,1656,1692,0.096,0,0,0,0,
9,4396.41,4024.62,4343.59,4155.38,4063.59,3588.21,4416.41,4447.18,4751.28,4508.21,4532.82,4341.03,4233.85,3863.08,1655,1692,0.104,0,0,0,0,
10,4397.44,4023.59,4348.72,4156.41,4066.67,3595.9,4425.64,4456.41,4750.26,4506.67,4533.85,4341.54,4231.28,3862.05,1655,1692,0.112,0,0,0,0,
11,4391.79,4016.41,4347.69,4148.21,4068.21,3603.59,4428.72,4458.97,4753.33,4504.62,4529.74,4337.95,4232.82,3865.64,1655,1692,0.12,0,0,0,0,
12,4373.85,4005.13,4333.85,4136.41,4058.97,3603.08,4426.15,4456.92,4762.56,4505.13,4521.54,4331.79,4229.23,3858.97,1655,1691,0.128,0,0,0,0,
13,4368.72,4001.03,4334.36,4135.9,4059.49,3605.64,4434.36,4458.46,4760,4507.18,4522.56,4326.15,4228.72,3847.69,1655,1692,0.136,0,0,0,0,
14,4379.49,4008.21,4342.05,4143.08,4071.79,3613.33,4440,4459.49,4749.23,4506.67,4523.08,4324.62,4232.31,3847.18,1656,1691,0.143,0,0,0,0,
15,4382.56,4013.85,4341.03,4138.97,4075.38,3613.85,4434.36,4458.46,4754.87,4507.18,4521.03,4327.18,4232.31,3851.79,1654,1691,0.151,0,0,0,0,
16,4374.36,4006.67,4340,4131.28,4058.97,3607.18,4431.79,4452.31,4765.64,4506.67,4521.54,4327.18,4231.79,3849.23,1655,1692,0.159,0,0,0,0,
17,4373.33,4004.62,4341.54,4140,4057.95,3607.69,4434.87,4447.18,4764.62,4509.23,4525.13,4327.69,4232.82,3847.18,1654,1691,0.167,0,0,0,0,
18,4382.05,4017.95,4345.64,4156.92,4081.54,3608.72,4434.36,4454.36,4764.62,4517.95,4534.87,4334.87,4235.38,3858.46,1655,1693,0.175,0,0,0,0,
19,4384.62,4023.59,4350.26,4160.51,4091.28,3606.67,4431.28,4460.51,4768.72,4521.54,4543.59,4340,4236.41,3863.08,1655,1692,0.182,0,0,0,0,
20,4374.87,4018.97,4345.64,4152.31,4081.03,3607.18,4434.87,4456.41,4769.23,4519.49,4538.46,4336.92,4234.87,3853.33,1654,1693,0.19,0,0,0,0,
