COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
56,4047.18,4124.1,4069.23,3882.05,4340,4156.92,4568.21,4541.03,4304.1,3923.59,4229.74,4600.51,4386.15,4649.74,1696,1732,0.12,0,0,0,0,
57,4052.31,4125.13,4065.64,3882.56,4346.15,4153.85,4569.23,4538.46,4296.41,3918.97,4222.05,4602.56,4380,4648.21,1697,1731,0.127,0,0,0,0,
58,4048.21,4120,4060,3875.9,4347.18,4140,4559.49,4540.51,4302.56,3910.77,4212.82,4597.95,4372.82,4645.64,1695,1731,0.135,0,0,0,0,
59,4040,4120,4059.49,3868.21,4348.72,4132.82,4551.28,4535.9,4305.13,3911.79,4218.46,4591.28,4374.36,4639.49,1696,1730,0.143,0,0,0,0,
60,4036.92,4116.92,4056.41,3872.82,4341.54,4138.46,4554.36,4525.13,4294.36,3911.79,4216.41,4585.64,4371.79,4633.85,1694,1728,0.151,0,0,0,0,
61,4034.36,4106.67,4052.31,3875.9,4336.41,4142.56,4557.95,4527.69,4292.82,3907.69,4201.54,4582.56,4362.56,4630.26,1694,1728,0.159,0,0,0,0,
62,4031.28,4105.64,4056.41,3866.15,4344.1,4139.49,4555.9,4538.46,4308.21,3909.74,4203.59,4583.59,4363.08,4628.21,1693,1726,0.167,0,0,0,0,
63,4033.85,4109.74,4060.51,3868.72,4339.49,4136.41,4557.95,4541.03,4316.41,3914.36,4217.44,4584.62,4373.33,4628.21,1692,1727,0.174,0,0,0,0,
64,4037.44,4112.31,4056.92,3876.41,4318.46,4141.54,4566.15,4536.92,4311.28,3914.87,4217.44,4587.69,4377.44,4633.33,1692,1726,0.182,0,0,0,0,
65,4031.28,4102.56,4053.33,3858.97,4305.64,4138.97,4561.03,4529.23,4292.82,3901.54,4204.1,4584.62,4365.13,4631.28,1692,1728,0.19,0,0,0,0,
